origin,destination
FLL,MIA
IAD,DCA
BWI,IAD
EWR,BOS
MDW,DTW
IAD,LGA
STL,MCI
MSP,ORD
PIT,LGA
ATL,CVG
ATL,MCO
CLE,EWR
ATL,TPA
SFO,SAN
IND,RDU
CLE,ATL
CVG,MSP
BOS,RDU
CLT,FLL
PHX,SFO
RDU,MIA
JFK,ATL
TPA,IAH
MCO,IAH
HOU,IND
MCO,EWR
DFW,SLC
MSP,MSY
DTW,IAH
LGA,RSW
RSW,LGA
MIA,SAT
TPA,BOS
PHL,DAL
TPA,MSP
PDX,MSP
PHX,IND
LAX,MSY
LAS,CLE
LAX,ATL
SAN,DTW
OAK,DTW
MIA,LAS
JFK,SAN
SAN,JFK
SFO,JFK
JFK,LGA
EWR,JFK
MIA,FLL
AUS,SAT
SAT,AUS
EWR,PHL
MCO,TPA
PHL,JFK
IND,CVG
HNL,OGG
OGG,HNL
RSW,MIA
LAX,SAN
SAN,LAX
TPA,RSW
PDX,SEA
SEA,PDX
AUS,IAH
BWI,EWR
IND,ORD
MCO,FLL
ORD,IND
BWI,JFK
BOS,JFK
JFK,BOS
DAL,AUS
DFW,AUS
MCO,MIA
PIT,DTW
MIA,TPA
TPA,MIA
DAL,IAH
CLT,ATL
CVG,DTW
DTW,CVG
BNA,CVG
CVG,BNA
LAX,LAS
DAL,SAT
LAS,PHX
IND,CLE
CVG,ORD
ORD,CVG
STL,BNA
IAH,MSY
CVG,STL
LAX,SJC
SJC,LAX
STL,CVG
CVG,CLT
LAX,SFO
SFO,LAX
ATL,RDU
BWI,CLT
BWI,BOS
LAX,PHX
PHX,LAX
CVG,ATL
CVG,IAD
SLC,DEN
MSP,MCI
MCO,ATL
TPA,ATL
BNA,ORD
ORD,BNA
BOS,IAD
BWI,CVG
CVG,BWI
IND,ATL
MSP,STL
STL,MSP
DAL,MCI
MCI,DAL
BNA,MSY
MSY,BNA
STL,ATL
CVG,PHL
PHL,CVG
TPA,CLT
DTW,JFK
JFK,DTW
PIT,ATL
DTW,MSP
MSP,DTW
CVG,MCI
MCI,CVG
OAK,PDX
PDX,SFO
BOS,CLE
CVG,EWR
EWR,CVG
MDW,IAD
LGA,CVG
PHL,IND
CVG,JFK
JFK,CVG
LAX,SLC
SLC,LAX
MDW,ATL
ATL,DTW
ATL,MIA
DTW,ATL
MIA,ATL
MSP,CVG
ATL,ORD
ORD,ATL
BNA,TPA
PHX,SJC
SJC,PHX
BOS,DTW
IND,EWR
IAH,BNA
MIA,MSY
MSY,MIA
DEN,MSP
IAH,ATL
MSY,MCI
SEA,SLC
SLC,SEA
ATL,MCI
CLE,MCI
MCI,CLE
BNA,MSP
CVG,MSY
MSY,CVG
MCI,SAT
SAT,MCI
EWR,ORD
ORD,EWR
ATL,DFW
DFW,ATL
JFK,ORD
ORD,JFK
EWR,ATL
EWR,BNA
BOS,CVG
CVG,BOS
CVG,MCO
MCO,CVG
ATL,JFK
BNA,JFK
CVG,TPA
TPA,CVG
DEN,AUS
BWI,MCO
IAH,TPA
DFW,ORD
ORD,DFW
BNA,MIA
CVG,DFW
DFW,CVG
SAT,BNA
IND,MCO
LAX,PDX
BWI,TPA
DEN,SAN
LAX,DEN
SEA,LAS
CVG,IAH
